scan,scan_key,scan_value,a,a_over_M,betaM2,beta_display_1e4,theta_obs_deg,epsilon_pert,epsilon_ok,Delta_cel_max,Delta_cel_mean,Delta_scr_max,Delta_scr_mean,d_plus,d_minus,d0,delta_d_br,w_br,f_br,N_plus,N_minus,N_br,r_plus,rcrit_min,rcrit_max,note,1e4_Delta_cel_max,1e4_Delta_cel_mean,100_delta_d_br,100_f_br
$\theta_o$-scan,inclination,17.0,0.93,0.93,0.0001,1.0,17.0,0.045570151284726385,True,0.128116760181679,0.039054201035656204,0.1416681988103439,0.04205672270602332,1.0495612767320606,1.1298058774294037,1.089683577080732,0.0736402772191161,0.019593269974171313,0.017980696769480352,810,818,806,1.0717798623771677,1.8909544501918079,2.818571814421344,OK,1281.16760181679,390.54201035656206,7.364027721911611,1.798069676948035
$\theta_o$-scan,inclination,50.0,0.93,0.93,0.0001,1.0,50.0,0.045570151284726385,True,0.11803651799589972,0.03505160041297187,0.1379968050849384,0.03822525342043506,1.0681540159686878,1.146631150391017,1.1073925831798523,0.0708665884297183,0.01986994688478296,0.017943001593641584,2052,2076,2052,1.0717798623771677,1.1456300505745438,3.510823578771744,OK,1180.3651799589973,350.5160041297187,7.08665884297183,1.7943001593641583
$\theta_o$-scan,inclination,60.0,0.93,0.93,0.0001,1.0,60.0,0.045570151284726385,True,0.11577528845494788,0.035221498107819,0.13707282189640405,0.03862667986585412,1.0753947730008138,1.1533748648027136,1.1143848189017636,0.06997591000813336,0.01994293334766062,0.01789591262317676,2208,2234,2208,1.0717798623771677,1.106402450594688,3.651581437522992,OK,1157.7528845494787,352.21498107819,6.997591000813336,1.789591262317676
$\theta_o$-scan,inclination,85.0,0.93,0.93,0.0001,1.0,85.0,0.045570151284726385,True,0.12120971257175935,0.03564448094832046,0.14595174480358045,0.03940967349829235,1.087558661095136,1.1649322990876212,1.1262454800913786,0.06870050922309356,0.020075358511286914,0.017825029148759015,2382,2412,2382,1.0717798623771677,1.0879424035453438,3.833874402135264,OK,1212.0971257175934,356.4448094832046,6.870050922309357,1.7825029148759015
